"","entrezgene_id","model_gene","ensembl_gene_id"
"378",1588,1588.1,"ENSG00000137869"
"379",1589,1589.1,"ENSG00000198457"
"380",1589,1589.1,"ENSG00000233151"
"381",1589,1589.1,"ENSG00000206338"
"382",1589,1589.1,"ENSG00000235134"
"383",1589,1589.1,"ENSG00000231852"
"384",1589,1589.1,"ENSG00000232414"
"385",1591,1591.1,"ENSG00000019186"
"386",1592,1592.1,"ENSG00000095596"
"387",1593,1593.1,"ENSG00000135929"
"388",1594,1594.1,"ENSG00000111012"
"389",1595,1595.1,"ENSG00000001630"
"390",1603,1603.1,"ENSG00000129562"
"391",1606,1606.1,"ENSG00000065357"
"392",1607,1607.1,"ENSG00000136267"
"393",1607,1607.2,"ENSG00000136267"
"394",1608,1608.1,"ENSG00000058866"
"395",1609,1609.1,"ENSG00000145214"
"396",1610,1610.1,"ENSG00000110887"
"397",1621,1621.1,"ENSG00000123454"
"398",1622,1622.1,"ENSG00000155368"
"399",1629,1629.1,"ENSG00000137992"
"400",1632,1632.1,"ENSG00000167969"
"401",1633,1633.1,"ENSG00000156136"
"402",1635,1635.1,"ENSG00000129187"
"403",1636,1636.1,"ENSG00000159640"
"404",1638,1638.1,"ENSG00000080166"
"405",1644,1644.1,"ENSG00000132437"
"406",1645,1645.1,"ENSG00000187134"
"407",1650,1650.1,"ENSG00000244038"
"408",1666,1666.1,"ENSG00000104325"
"409",1716,1716.2,"ENSG00000114956"
"410",1716,1716.4,"ENSG00000114956"
"411",1716,1716.3,"ENSG00000114956"
"412",1716,1716.1,"ENSG00000114956"
"413",1716,1716.5,"ENSG00000114956"
"414",1717,1717.1,"ENSG00000172893"
"415",1718,1718.1,"ENSG00000116133"
"416",1719,1719.1,"ENSG00000228716"
"417",1723,1723.1,"ENSG00000102967"
"418",1727,1727.1,"ENSG00000100243"
"419",1737,1737.1,"ENSG00000150768"
"420",1738,1738.1,"ENSG00000091140"
"421",1743,1743.1,"ENSG00000119689"
"422",1757,1757.1,"ENSG00000123453"
"423",1786,1786.1,"ENSG00000130816"
"424",1787,1787.2,"ENSG00000107614"
"425",1787,1787.6,"ENSG00000107614"
"426",1787,1787.1,"ENSG00000107614"
"427",1787,1787.3,"ENSG00000107614"
"428",1787,1787.5,"ENSG00000107614"
"429",1787,1787.4,"ENSG00000107614"
"430",1788,1788.2,"ENSG00000119772"
"431",1788,1788.4,"ENSG00000119772"
"432",1788,1788.3,"ENSG00000119772"
"433",1788,1788.1,"ENSG00000119772"
"434",1789,1789.2,"ENSG00000088305"
"435",1789,1789.4,"ENSG00000088305"
"436",1789,1789.3,"ENSG00000088305"
"437",1789,1789.1,"ENSG00000088305"
"438",1798,1798.2,"ENSG00000172269"
"439",1798,1798.1,"ENSG00000172269"
"440",1800,1800.1,"ENSG00000015413"
"441",1806,1806.1,"ENSG00000188641"
"442",1807,1807.1,"ENSG00000147647"
"443",1808,1808.1,"ENSG00000092964"
"444",1809,1809.1,"ENSG00000113657"
"445",1811,1811.1,"ENSG00000091138"
"446",1836,1836.1,"ENSG00000155850"
"447",1841,1841.1,"ENSG00000168393"
"448",1854,1854.1,"ENSG00000128951"
"449",1890,1890.1,"ENSG00000025708"
"450",1891,1891.1,"ENSG00000282853"
"451",1891,1891.1,"ENSG00000104823"
"452",1892,1892.1,"ENSG00000127884"
"453",1962,1962.1,"ENSG00000113790"
"454",2023,2023.1,"ENSG00000074800"
"455",2026,2026.1,"ENSG00000111674"
"456",2027,2027.1,"ENSG00000108515"
"457",2027,2027.2,"ENSG00000108515"
"458",2030,2030.1,"ENSG00000112759"
"459",2052,2052.1,"ENSG00000143819"
"460",2053,2053.1,"ENSG00000120915"
"461",2098,2098.1,"ENSG00000139684"
"462",2108,2108.1,"ENSG00000140374"
"463",2109,2109.2,"ENSG00000105379"
"464",2109,2109.1,"ENSG00000105379"
"465",2110,2110.1,"ENSG00000171503"
"466",2131,2131.1,"ENSG00000182197"
"467",2132,2132.2,"ENSG00000151348"
"468",2132,2132.1,"ENSG00000151348"
"469",2134,2134.1,"ENSG00000158008"
"470",2135,2135.1,"ENSG00000162694"
"471",2137,2137.1,"ENSG00000012232"
"472",2147,2147.1,"ENSG00000180210"
"473",2168,2168.1,"ENSG00000163586"
"474",2180,2180.1,"ENSG00000151726"
"475",2181,2181.1,"ENSG00000123983"
"476",2181,2181.2,"ENSG00000123983"
"477",2182,2182.1,"ENSG00000068366"
"478",2182,2182.2,"ENSG00000068366"
"479",2184,2184.1,"ENSG00000103876"
"480",2194,2194.1,"ENSG00000169710"
"481",2203,2203.1,"ENSG00000165140"
"482",2222,2222.1,"ENSG00000079459"
"483",2222,2222.1,"ENSG00000284967"
"484",2224,2224.1,"ENSG00000160752"
"485",2235,2235.2,"ENSG00000066926"
